Date,Expenses,Income (TB),Distro (QB),Partner Contribution,Income Total,Amount Saved,Percentage Saved,
Oct-18,"33,392.44",18459.00,625,,"19,084.00","-14,308.44",-77.51%,
Nov-18,"21,715.59",22033.22,320,,"22,353.22",637.63,2.89%,
Dec-18,"21,326.25",22744.90,310,,"23,054.90","1,728.65",7.60%,
Jan-19,"23,519.69",23863.58,2050,,"25,913.58","2,393.89",10.03%,
Feb-19,"23,878.69",22597.95,735,,"23,332.95",-545.74,-2.41%,
Mar-19,"25,064.72",25450.11,2108,,"27,558.11","2,493.39",9.80%,
Apr-19,"24,319.03",23760.13,1224.82,,"24,984.95",665.92,2.80%,
May-19,"23,240.59",20309.45,1860,,"22,169.45","-1,071.14",-5.27%,
Jun-19,"20,525.09",26419.10,1110,,"27,529.10","7,004.01",26.51%,
Jul-19,"25,258.94",17733.80,660,,"18,393.80","-6,865.14",-38.71%,
Aug-19,"24,459.98",23233.40,2110,,"25,343.40",883.42,3.80%,
Sep-19,"27,014.23",19337.90,2385,,"21,722.90","-5,291.33",-27.36%,
Oct-19,"30,467.16",26243.50,3045,,"29,288.50","-1,178.66",-4.49%,
Nov-19,"26,912.92",28686.75,430,,"29,116.75","2,203.83",7.68%,
Dec-19,"22,580.73",20530.79,1930,,"22,460.79",-119.94,-0.58%,
Jan-20,"22,128.95",21204.60,985.00,,"22,189.60",60.65,0.29%,
Feb-20,"22,661.55","23,574.15","1,395.00",,"24,969.15","2,307.60",9.79%,
Mar-20,"19,825.51","16,842.99",195.00,,"17,037.99","-2,787.52",-16.55%,
Apr-20,"19,769.24","16,526.90",0.00,,"16,526.90","-3,242.34",-19.62%,
May-20,"26,953.79","22,089.10",0.00,,"22,089.10","-4,864.69",-22.02%,
Jun-20,"26,288.34","18,770.30",0.00,,"18,770.30","-7,518.04",-40.05%,
Jul-20,"25,061.36","19,559.65",195.00,,"19,754.65","-5,306.71",-27.13%,
Aug-20,"26,569.92","20,238.15",0.00,,"20,238.15","-6,331.77",-31.29%,
Sep-20,"24,802.64","21,284.05",390.00,,"21,674.05","-3,128.59",-14.70%,
Oct-20,"28,992.74","27,134.75",390.00,,"27,524.75","-1,467.99",-5.41%,
Nov-20,"24,285.26","20,002.00",0.00,,"20,002.00","-4,283.26",-21.41%,
Dec-20,"17,982.27","16,806.95",195.00,,"17,001.95",-980.32,-5.83%,
Jan-21,"22,144.59","16,431.00","1,569.22",,"18,000.22","-4,144.37",-25.22%,
Feb-21,"20,520.68","16,496.55","1,009.76",,"17,506.31","-3,014.37",-18.27%,
Mar-21,"28,705.15","17,556.05","1,014.58",,"18,570.63","-10,134.52",-57.73%,
Apr-21,"26,575.61","18,335.40",419.76,,"18,755.16","-7,820.45",-42.65%,
May-21,"19,507.58","22,682.95","3,357.24",,"26,040.19","6,532.61",28.80%,
Jun-21,"31,088.37","18,799.60","3,048.20",,"21,847.80","-9,240.57",-49.15%,
Jul-21,"30,287.88","22,968.50","1,509.46",,"24,477.96","-5,809.92",-25.30%,
Aug-21,"21,737.64","19,210.10","2,243.44",,"21,453.54",-284.10,-1.48%,
Sep-21,"28,366.72","18,044.50","3,203.38",,"21,247.88","-7,118.84",-39.45%,
Oct-21,"30,864.60","27,289.87","2,568.26",,"29,858.13","-1,006.47",-3.69%,
Nov-21,"22,950.63","21,248.00","2,138.62",,"23,386.62",435.99,2.05%,
Dec-21,"24,553.91","17,150.38",660.00,,"17,810.38","-6,743.53",-39.32%,
Jan-22,"23,441.86","14,168.43","4,223.88",,"18,392.31","-5,049.55",-35.64%,
Feb-22,"19,918.89","19,095.01","2,535.00",,"21,630.01","1,711.12",8.96%,
Mar-22,"26,273.84","18,933.30","3,863.20",,"22,796.50","-3,477.34",-18.37%,
Apr-22,"23,693.26","21,060.00","3,962.68",,"25,022.68","1,329.42",6.31%,
May-22,"27,309.38","21,060.00","5,402.22","1,804.00","26,462.22",-847.16,-4.02%,
Jun-22,"24,714.34","20,034.00","5,840.00",919.50,"25,874.00","1,159.66",5.79%,
Jul-22,"23,045.06","16,500.00","4,495.64",500.00,"20,995.64","-2,049.42",-12.42%,
Aug-22,"21,937.39","12,485.50","3,646.88","7,075.00","16,132.38","-5,805.01",-46.49%,
Sep-22,"23,133.46","14,992.00",580.00,"2,300.78","15,572.00","-7,561.46",-50.44%,
Oct-22,"27,006.81","26,883.50","4,747.42","1,800.00","31,630.92","4,624.11",17.20%,
Nov-22,"20,198.74","17,747.00","2,330.64","1,600.00","20,077.64",-121.10,-0.68%,
Dec-22,"19,271.34","12,389.00","1,744.40",,"14,133.40","-5,137.94",-41.47%,
Jan-23,"17,950.53","11,715.00","1,960.00","2,500.00","13,675.00","-4,275.53",-36.50%,
Feb-23,"12,759.94","13,539.73","1,601.88",500.00,"15,141.61","2,381.67",17.59%,
,,,,,,,,
,,,,,,,,
,,,,,,,,
AtlFed:,"19,000.00",,,,,,,
HELOC:,"71,561.18",,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Monthly Average:,"22,173.12","20,072.95","2,679.84","2,111.03","22,752.79",579.67,3%,
