Item Name,Global Category,Major Category,Minor Category,Item Quantity,Item/Cover %,Average Item Price,Gross Sales,Net Sales
identity cri?i?: coconut 4oz,BEVERAGE,ALCOHOL,4OZ DRAUGHT,9.00,0.48,4.00,36.00,36.00
2-player coop 4oz,BEVERAGE,ALCOHOL,4OZ DRAUGHT,9.00,0.48,4.00,36.00,34.00
low orbit ion canon 10oz,BEVERAGE,ALCOHOL,10OZ DRAUGHT,80.00,4.26,7.35,588.00,581.00
low orbit ion cannon 64oz,BEVERAGE,ALCOHOL,64OZ GROWLER FILLS,8.00,0.43,18.00,144.00,142.00
identity cri?i?: coconut 64oz,BEVERAGE,ALCOHOL,64OZ GROWLER FILLS,8.00,0.43,18.13,145.00,140.00
mikey's summer shandy,BEVERAGE,ALCOHOL,16OZ DRAUGHT,72.00,3.84,8.00,576.00,576.00
field artillery 10oz,BEVERAGE,ALCOHOL,10OZ DRAUGHT,71.00,3.78,8.00,568.00,564.00
field artillery,BEVERAGE,ALCOHOL,64OZ GROWLER FILLS,7.00,0.37,24.43,171.00,168.00
private event deposit,RETAIL,RETAIL,PRIVATE EVENTS,7.00,0.37,207.14,1450.00,1450.00
blood orange blond 16oz,BEVERAGE,ALCOHOL,16OZ DRAUGHT,655.00,34.91,7.00,4585.00,4578.00
2-player coop 4-pack 16oz cans,RETAIL,RETAIL,PACKAGED GOODS,65.00,3.46,18.00,1170.00,1170.00
festhalle original kolsch 10oz,BEVERAGE,ALCOHOL,10OZ DRAUGHT,63.00,3.36,7.00,441.00,441.00
ground under repair ipa,BEVERAGE,ALCOHOL,16OZ DRAUGHT,6.00,0.32,8.00,48.00,48.00
valentine flight of the night,BEVERAGE,ALCOHOL,BEER FLIGHTS,6.00,0.32,10.00,60.00,60.00
tons of bubbles 4oz,BEVERAGE,ALCOHOL,4OZ DRAUGHT,6.00,0.32,4.00,24.00,24.00
crispy boi 4oz,BEVERAGE,ALCOHOL,4OZ DRAUGHT,6.00,0.32,4.00,24.00,22.00
blood orange w/ hibiscus,BEVERAGE,ALCOHOL,4OZ DRAUGHT,6.00,0.32,4.00,24.00,24.00
hangover pretzels: sweet heet,FOOD,FOOD,FOOD,6.00,0.32,8.00,48.00,48.00
robot insurance 4-pack 16oz cans,RETAIL,RETAIL,PACKAGED GOODS,59.00,3.14,17.00,1003.00,1003.00
tons of bubbles 10oz,BEVERAGE,ALCOHOL,10OZ DRAUGHT,57.00,3.04,6.00,342.00,342.00
4-beer flight,BEVERAGE,ALCOHOL,BEER FLIGHTS,556.00,29.64,9.00,5004.00,4993.00
identity cri?i?: coconut 10oz,BEVERAGE,ALCOHOL,10OZ DRAUGHT,54.00,2.88,7.00,378.00,367.50
crispy boi 16oz,BEVERAGE,ALCOHOL,16OZ DRAUGHT,512.00,27.29,8.00,4096.00,4088.00
stouty mcstoutface 10oz,BEVERAGE,ALCOHOL,10OZ DRAUGHT,5.00,0.27,8.00,40.00,40.00
festhalle original kolsch,BEVERAGE,ALCOHOL,64OZ GROWLER FILLS,5.00,0.27,17.00,85.00,82.00
knotty pretzels: hot wings,FOOD,FOOD,FOOD,5.00,0.27,7.00,35.00,35.00
knotty pretzels: chile lime,FOOD,FOOD,FOOD,5.00,0.27,7.00,35.00,35.00
10oz belgian glass,RETAIL,RETAIL,MERCHANDISE,5.00,0.27,7.00,35.00,35.00
