Item Name,Global Category,Major Category,Minor Category,Item Quantity,Item/Cover %,Average Item Price,Gross Sales,Net Sales
robot insurance 10oz,BEVERAGE,ALCOHOL,10OZ DRAUGHT,96.00,6.55,7.00,672.00,665.00
knotty pretzels: italian,FOOD,FOOD,FOOD,9.00,0.61,7.00,63.00,63.00
do what's in your heart (10oz),BEVERAGE,ALCOHOL,10OZ DRAUGHT,85.00,5.80,7.00,595.00,595.00
field artillery 10oz,BEVERAGE,ALCOHOL,10OZ DRAUGHT,84.00,5.73,8.00,672.00,672.00
socially acceptable,BEVERAGE,ALCOHOL,10OZ DRAUGHT,8.00,0.55,6.00,48.00,48.00
we've got time sour 4-pack 16oz cans,RETAIL,RETAIL,PACKAGED GOODS,8.00,0.55,17.00,136.00,136.00
coffee porter,BEVERAGE,ALCOHOL,4OZ DRAUGHT,8.00,0.55,4.00,32.00,30.00
barrel-aged stouty mcstoutface 4oz,BEVERAGE,ALCOHOL,4OZ DRAUGHT,8.00,0.55,4.00,32.00,30.00
movie quotes hoppy lager 16oz,BEVERAGE,ALCOHOL,16OZ DRAUGHT,77.00,5.26,7.00,539.00,539.00
coffee porter,BEVERAGE,ALCOHOL,10OZ DRAUGHT,76.00,5.19,7.04,535.00,531.50
field artillery,BEVERAGE,ALCOHOL,64OZ GROWLER FILLS,7.00,0.48,24.14,169.00,150.00
red engine #63 4oz,BEVERAGE,ALCOHOL,4OZ DRAUGHT,7.00,0.48,4.00,28.00,28.00
barrel-aged chocolate vanilla porter,BEVERAGE,ALCOHOL,4OZ DRAUGHT,7.00,0.48,4.00,28.00,28.00
knotty pretzels: honey mustard,FOOD,FOOD,FOOD,7.00,0.48,7.00,49.00,49.00
knotty pretzels: cheddar bacon,FOOD,FOOD,FOOD,7.00,0.48,7.00,49.00,49.00
knotty pretzels: bbq,FOOD,FOOD,FOOD,7.00,0.48,7.00,49.00,49.00
barrel-aged chocolate vanilla porter,BEVERAGE,ALCOHOL,10OZ DRAUGHT,65.00,4.44,8.00,520.00,506.20
blood orange blonde ale 16oz 4-pack,RETAIL,RETAIL,PACKAGED GOODS,63.00,4.30,16.00,1008.00,1008.00
wrought gold 10oz,BEVERAGE,ALCOHOL,10OZ DRAUGHT,6.00,0.41,6.00,36.00,36.00
identity cri?i?: coconut 64oz,BEVERAGE,ALCOHOL,64OZ GROWLER FILLS,6.00,0.41,19.00,114.00,111.00
identity cri?i?: coconut 4oz,BEVERAGE,ALCOHOL,4OZ DRAUGHT,6.00,0.41,4.00,24.00,24.00
do what's in your heart 4oz,BEVERAGE,ALCOHOL,4OZ DRAUGHT,6.00,0.41,4.00,24.00,22.00
chocolate vanilla porter 4oz,BEVERAGE,ALCOHOL,4OZ DRAUGHT,6.00,0.41,4.00,24.00,24.00
hangover pretzels: caysabi,FOOD,FOOD,FOOD,6.00,0.41,8.00,48.00,48.00
10oz belgian glass,RETAIL,RETAIL,MERCHANDISE,6.00,0.41,7.00,42.00,42.00
festhalle original kolsch 16oz,BEVERAGE,ALCOHOL,16OZ DRAUGHT,57.00,3.89,8.00,456.00,456.00
