Date,Amount Saved
October-18,-14308.44
November-18,637.63
December-18,1728.65
January-19,2393.89
February-19,-545.74
March-19,2493.39
April-19,665.92
May-19,-1071.14
June-19,7004.01
July-19,-6865.14
August-19,883.42
September-19,-5291.33
October-19,-1178.66
November-19,2203.83
December-19,-119.94
January-20,60.65
February-20,2307.6
March-20,-2787.52
April-20,-3242.34
May-20,-4864.69
June-20,-7518.04
July-20,-5306.71
August-20,-6331.77
September-20,-3128.59
October-20,-1467.99
November-20,-4283.26
December-20,-980.32
January-21,-4144.37
February-21,-3014.37
March-21,-10134.52
April-21,-7820.45
May-21,6532.61
June-21,-9240.57
July-21,-5809.92
August-21,-284.1
September-21,-7118.84
October-21,-1006.47
November-21,435.99
December-21,-6743.53
January-22,-5049.55
February-22,1711.12
March-22,-3477.34
April-22,1329.42
May-22,956.84
June-22,2079.16
July-22,-1549.42
August-22,1269.99
September-22,-5260.68
October-22,6424.11
November-22,1478.9
December-22,-5137.94
January-23,-1775.53
February-23,-677.47
March-23,1122.99
April-23,2693.24
